qstr_{reg1}.0|{reg1}.0
qstr_{reg1}.00{reg2}|{reg1}.00{reg2}
qstr_{reg1}.0{reg2}|{reg1}.0{reg2}
qstr_{reg1}.{reg2}|{reg1}.{reg2}
qstr_{s1}_|{s1} 
qstr_Next_Page|Следующая страница
qstr_Naval_Battle|Морское сражение
qstr_Coastal_Assault__Off|Прибрежный штурм (Атака)
qstr_Coastal_Assault__Def|Прибрежный штурм (Защита)
qstr_Players:|Игроки:
qstr_Invaders:|Налетчики:
qstr_Invasion_difficulty_|Сложность вторжения (%):
qstr_Allow_Shield_Bash|Удар щитом
qstr_Allow_Falling_from_H|Урон при падении с лошади
qstr_Allow_Shield_Wall_Bo|Бонусы от стены щитов
qstr_Remove_Stray_Horses_|Удалить случайных лошадей после ххх секунд (0 = выкл.)
qstr_Replace_All_Weapons_|Заменить все оружие на смертельно лук.
qstr_God_Mode|Режим Бога
qstr________Game_Descript|-------Игра-------^
qstr_Game_Rules:^|Правила:^
qstr_0|0
qstr_Players:_{reg1}|Игроки: {reg1}
qstr_Command_enemy_troops|Командовать войсками противника
qstr_Invaders|Налетчики
qstr_Extra_silver_for_tro|Бонусное серебро для воинов: {reg2}
qstr_{s0}__{reg1}s_|{s0} ({reg1})
qstr_Thor_s_champion_has_|Чемпион Тора повержен!
qstr_You_have_killed_the_|Вы победили чемпиона и снискали расположение Тора!
qstr_{s1}_has_killed_the_|{s1} побеждает чемпиона и заслуживает расположение Тора!
qstr_Thor_has_chosen_{s1}|Тор выбрал нового чемпиона, им становится {s1}! 
qstr_^^Congratulations!^^|^^Поздравляем!^^Вы выстояли вторжение!
qstr_New_enemies_are_comi|Прибыли новые полчища врага!^Готовьтесь!
qstr_{reg0}:{reg1}{reg2}_|{reg0}: {reg1} {reg2} до следующей вражеской волны.*
qstr_Enemies_left:_{reg1}|Врагов отступило: {reg1}
qstr_Show_game_rules|Показать правила
qstr_Admin_tools_panel|Панель Администратора
qstr_Change_game_type|Сменить тип игры
qstr_All_Players|Все игроки
qstr_The|
qstr_Candidate_#1:_{s1}|Кандидат №1: {s1}
qstr_Candidate_#2:_{s1}|Кандидат №2: {s1}
qstr_{s3}_of_the_{s4}_wis|{s3} ({s4}) желает выбрать нового маршала и приглашает его вассалов для совещания. {s1} и {s2} - вероятные кандидаты.
qstr_Whom_do_you_wish_to_|Кого вы желаете поддержать?
qstr_{s1}_gives_his_suppo|{s1} поддерживает {s2}.
qstr_Number_of_Supporters|Количество поддерживающих: {reg0}
qstr_{s2}_has_heard_his_v|{s2} услышал своих вассалов. Им выбран {s1} в качестве маршала {s3}.
qstr_Strategy_Camera:_pre|Стратегическая камера: нажмите клавишу Enter
qstr_Orders|Действия
qstr_Mount|Сесть верхом
qstr_Attack_Order|Тип атаки
qstr_Retreat|Отступить
qstr_Stand_Ground|Стоять
qstr_Charge|В атаку
qstr_Follow_Me|За мной
qstr_Hold_This_Position|Держать позицию
qstr_Spread_Out|Рассыпаться
qstr_Stand_Closer|Сдвинуться
qstr_Fall_Back|Назад
qstr_Advance|Вперед
qstr_Dismount|Спешиться
qstr_Fire_At_Will|Огонь по готовности
qstr_Hold_Your_Fire|Не стрелять
qstr_Use_Blunt_Weapons|Использовать тупое оружие
qstr_Use_Any_Weapon|Использовать любое оружие
qstr_Ready|В бою
qstr_Wounded|Ранено
qstr_Dead|Убито
qstr_Number_of_men_knocke|Количество оглушённых: {reg1}
qstr_Number_of_men_left:_|Количество оставшихся: {reg1}
qstr_Opponents_Beaten:_{r|Выведено из строя противников: {reg1}
qstr_Opponents_Remaining:|Противников в строю: {reg1}
qstr_Remain_in_retirement|В отставку.
qstr_Go_back_to_adventuri|На поиски приключений.
qstr_You_have_retired_at_|Вы ушли в отставку на уровне {reg4} после {reg5} дневных путешествий.
qstr_Effect_on_Score|Влияние на счет
qstr_Settlements_owned_by|Вы владеете поселениями: {reg0}
qstr_Friendly_Settlements|Дружественные поселения: {reg0}
qstr_Hostile_Settlements:|Враждебные поселения: {reg0}
qstr_Friendly_Lords:_{reg|Дружественные лорды: {reg0}
qstr_Enemy_Lords:_{reg0}|Враждебные лорды: {reg0}
qstr_Victories:_{reg0}|Победы: {reg0}
qstr_Defeats:_{reg0}|Поражения: {reg0}
qstr_Quests_Completed:_{r|Выполненные квесты: {reg0}
qstr_Companions_Found:_{r|Привлеченные спутники: {reg0}
qstr_Companions_Lost/Depa|Потерянные/ушедшие спутники: {reg0}
qstr_Wealth:_{reg0}_penin|Благосостояние: {reg0} пенни
qstr_Inventory:_{reg0}_pe|Имущество: {reg0} пенни
qstr_Renown:_{reg0}|Известность: {reg0}
qstr_Experience:_{reg0}|Опыт: {reg0}
qstr_Days_Passed:_{reg0}|Прошло дней: {reg0}
qstr_Difficulty:_{reg0}%|Сложность: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|Общий счет: {reg0}
qstr_Unpaid|Нет выплат
qstr_Kingdom_Advisor:|Королевский советник:
qstr_Kingdom_Tributes:|Королевский налог:
qstr_Your_troops_are_unpa|Вы не выплатили жалование. Боевой дух понизился.
qstr_{s30}{reg1}{reg2}{re|{s30}{reg1},{reg2},{reg3},{reg4},{reg5},{reg6},{reg7},{reg8},{reg9},{reg10},{reg11},{reg12},{reg13},{reg14},{reg15},{reg16},{reg17},{reg18},{reg19},{reg20},{reg21},{reg22},{reg23},{reg24}/
qstr_F4___Complex_formati|F4 – сложные формации
qstr_F7___Memorize_div._p|F7 – запомнить расположение^     группы
qstr_F8___Default_divisio|F8 – расположение группы^     по умолчанию
qstr_F4___Ranks|F4 - Ряды
qstr_F5___Shield_Wall|F5 - Стена щитов
qstr_F6___Wedge|F6 - Клин
qstr_F7___Square|F7 - Квадрат
qstr_F8___No_Formation|F8 - Свободное построение
qstr_Extended_Formations_|Расширенные формации и ИИ опции
qstr_Disable_mod_formatio|Отключить формации в моде:
qstr_Put_player_in_divisi|Поместить игрока в группу:
qstr_{s1}|{s1}
